,Disease,Combined_Symptoms,Precaution_1,Precaution_2,Precaution_3,Precaution_4
1087,Common Cold," continuous_sneezing,  chills,  fatigue,  cough,  high_fever,  swelled_lymph_nodes,  malaise,  phlegm,  throat_irritation,  redness_of_eyes,  sinus_pressure,  runny_nose,  congestion,  chest_pain,  loss_of_smell,  muscle_pain",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
1088,Common Cold," continuous_sneezing,  chills,  fatigue,  cough,  high_fever,  headache,  malaise,  phlegm,  throat_irritation,  redness_of_eyes,  sinus_pressure,  runny_nose,  congestion,  chest_pain,  loss_of_smell,  muscle_pain",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
1089,Common Cold," continuous_sneezing,  chills,  fatigue,  cough,  high_fever,  headache,  swelled_lymph_nodes,  phlegm,  throat_irritation,  redness_of_eyes,  sinus_pressure,  runny_nose,  congestion,  chest_pain,  loss_of_smell,  muscle_pain",drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
1090,Pneumonia," chills,  fatigue,  cough,  high_fever,  breathlessness,  sweating,  malaise,  chest_pain,  fast_heart_rate,  rusty_sputum",consult doctor,medication,rest,follow up
1091,Pneumonia," chills,  fatigue,  cough,  high_fever,  breathlessness,  sweating,  malaise,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum",consult doctor,medication,rest,follow up
1092,Pneumonia," chills,  fatigue,  cough,  high_fever,  breathlessness,  sweating,  malaise,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum",consult doctor,medication,rest,follow up
1093,Pneumonia," fatigue,  cough,  high_fever,  breathlessness,  sweating,  malaise,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum",consult doctor,medication,rest,follow up
1094,Pneumonia," chills,  cough,  high_fever,  breathlessness,  sweating,  malaise,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum",consult doctor,medication,rest,follow up
1095,Pneumonia," chills,  fatigue,  high_fever,  breathlessness,  sweating,  malaise,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum",consult doctor,medication,rest,follow up
1096,Pneumonia," chills,  fatigue,  cough,  breathlessness,  sweating,  malaise,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum",consult doctor,medication,rest,follow up
1097,Pneumonia," chills,  fatigue,  cough,  high_fever,  sweating,  malaise,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum",consult doctor,medication,rest,follow up
1098,Pneumonia," chills,  fatigue,  cough,  high_fever,  breathlessness,  malaise,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum",consult doctor,medication,rest,follow up
1099,Pneumonia," chills,  fatigue,  cough,  high_fever,  breathlessness,  sweating,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum",consult doctor,medication,rest,follow up
1100,Dimorphic hemmorhoids(piles)," constipation,  pain_during_bowel_movements,  pain_in_anal_region,  bloody_stool,  irritation_in_anus",avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice
1101,Dimorphic hemmorhoids(piles)," constipation,  pain_during_bowel_movements,  pain_in_anal_region,  bloody_stool,  irritation_in_anus",avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice
1102,Dimorphic hemmorhoids(piles)," constipation,  pain_during_bowel_movements,  pain_in_anal_region,  bloody_stool,  irritation_in_anus",avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice
1103,Dimorphic hemmorhoids(piles)," pain_during_bowel_movements,  pain_in_anal_region,  bloody_stool,  irritation_in_anus",avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice
1104,Dimorphic hemmorhoids(piles)," constipation,  pain_in_anal_region,  bloody_stool,  irritation_in_anus",avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice
1105,Dimorphic hemmorhoids(piles)," constipation,  pain_during_bowel_movements,  bloody_stool,  irritation_in_anus",avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice
1106,Dimorphic hemmorhoids(piles)," constipation,  pain_during_bowel_movements,  pain_in_anal_region,  irritation_in_anus",avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice
1107,Dimorphic hemmorhoids(piles)," constipation,  pain_during_bowel_movements,  pain_in_anal_region,  bloody_stool",avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice
1108,Dimorphic hemmorhoids(piles)," constipation,  pain_during_bowel_movements,  pain_in_anal_region,  bloody_stool,  irritation_in_anus",avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice
1109,Dimorphic hemmorhoids(piles)," constipation,  pain_during_bowel_movements,  pain_in_anal_region,  bloody_stool,  irritation_in_anus",avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice
1110,Heart attack," vomiting,  breathlessness,  sweating,  chest_pain",call ambulance,chew or swallow asprin,keep calm,
1111,Heart attack," vomiting,  breathlessness,  sweating,  chest_pain",call ambulance,chew or swallow asprin,keep calm,
1112,Heart attack," breathlessness,  sweating,  chest_pain",call ambulance,chew or swallow asprin,keep calm,
1113,Heart attack," vomiting,  sweating,  chest_pain",call ambulance,chew or swallow asprin,keep calm,
1114,Heart attack," vomiting,  breathlessness,  chest_pain",call ambulance,chew or swallow asprin,keep calm,
1115,Heart attack," vomiting,  breathlessness,  sweating",call ambulance,chew or swallow asprin,keep calm,
1116,Heart attack," vomiting,  breathlessness,  sweating,  chest_pain",call ambulance,chew or swallow asprin,keep calm,
1117,Heart attack," breathlessness,  sweating,  chest_pain",call ambulance,chew or swallow asprin,keep calm,
1118,Heart attack," vomiting,  sweating,  chest_pain",call ambulance,chew or swallow asprin,keep calm,
1119,Heart attack," vomiting,  breathlessness,  chest_pain",call ambulance,chew or swallow asprin,keep calm,
1120,Varicose veins," fatigue,  cramps,  bruising,  obesity,  swollen_legs,  swollen_blood_vessels,  prominent_veins_on_calf",lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
1121,Varicose veins," fatigue,  cramps,  bruising,  obesity,  swollen_legs,  swollen_blood_vessels,  prominent_veins_on_calf",lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
1122,Varicose veins," cramps,  bruising,  obesity,  swollen_legs,  swollen_blood_vessels,  prominent_veins_on_calf",lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
1123,Varicose veins," fatigue,  bruising,  obesity,  swollen_legs,  swollen_blood_vessels,  prominent_veins_on_calf",lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
1124,Varicose veins," fatigue,  cramps,  obesity,  swollen_legs,  swollen_blood_vessels,  prominent_veins_on_calf",lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
1125,Varicose veins," fatigue,  cramps,  bruising,  swollen_legs,  swollen_blood_vessels,  prominent_veins_on_calf",lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
1126,Varicose veins," fatigue,  cramps,  bruising,  obesity,  swollen_blood_vessels,  prominent_veins_on_calf",lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
1127,Varicose veins," fatigue,  cramps,  bruising,  obesity,  swollen_legs,  prominent_veins_on_calf",lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
1128,Varicose veins," fatigue,  cramps,  bruising,  obesity,  swollen_legs,  swollen_blood_vessels",lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
1129,Varicose veins," fatigue,  cramps,  bruising,  obesity,  swollen_legs,  prominent_veins_on_calf",lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
1130,Hypothyroidism," fatigue,  weight_gain,  cold_hands_and_feets,  mood_swings,  lethargy,  dizziness,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation",reduce stress,exercise,eat healthy,get proper sleep
1131,Hypothyroidism," fatigue,  weight_gain,  cold_hands_and_feets,  mood_swings,  lethargy,  dizziness,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation",reduce stress,exercise,eat healthy,get proper sleep
1132,Hypothyroidism," weight_gain,  cold_hands_and_feets,  mood_swings,  lethargy,  dizziness,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation",reduce stress,exercise,eat healthy,get proper sleep
1133,Hypothyroidism," weight_gain,  cold_hands_and_feets,  mood_swings,  lethargy,  dizziness,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation",reduce stress,exercise,eat healthy,get proper sleep
1134,Hypothyroidism," fatigue,  cold_hands_and_feets,  mood_swings,  lethargy,  dizziness,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation",reduce stress,exercise,eat healthy,get proper sleep
1135,Hypothyroidism," fatigue,  weight_gain,  mood_swings,  lethargy,  dizziness,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation",reduce stress,exercise,eat healthy,get proper sleep
1136,Hypothyroidism," fatigue,  weight_gain,  cold_hands_and_feets,  lethargy,  dizziness,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation",reduce stress,exercise,eat healthy,get proper sleep
1137,Hypothyroidism," fatigue,  weight_gain,  cold_hands_and_feets,  mood_swings,  dizziness,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation",reduce stress,exercise,eat healthy,get proper sleep
1138,Hypothyroidism," fatigue,  weight_gain,  cold_hands_and_feets,  mood_swings,  lethargy,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation",reduce stress,exercise,eat healthy,get proper sleep
1139,Hypothyroidism," fatigue,  weight_gain,  cold_hands_and_feets,  mood_swings,  lethargy,  dizziness,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation",reduce stress,exercise,eat healthy,get proper sleep
1140,Hyperthyroidism," fatigue,  mood_swings,  weight_loss,  restlessness,  sweating,  diarrhoea,  fast_heart_rate,  excessive_hunger,  muscle_weakness,  irritability,  abnormal_menstruation",eat healthy,massage,use lemon balm,take radioactive iodine treatment
1141,Hyperthyroidism," fatigue,  mood_swings,  weight_loss,  restlessness,  sweating,  diarrhoea,  fast_heart_rate,  excessive_hunger,  muscle_weakness,  irritability,  abnormal_menstruation",eat healthy,massage,use lemon balm,take radioactive iodine treatment
1142,Hyperthyroidism," mood_swings,  weight_loss,  restlessness,  sweating,  diarrhoea,  fast_heart_rate,  excessive_hunger,  muscle_weakness,  irritability,  abnormal_menstruation",eat healthy,massage,use lemon balm,take radioactive iodine treatment
1143,Hyperthyroidism," fatigue,  weight_loss,  restlessness,  sweating,  diarrhoea,  fast_heart_rate,  excessive_hunger,  muscle_weakness,  irritability,  abnormal_menstruation",eat healthy,massage,use lemon balm,take radioactive iodine treatment
1144,Hyperthyroidism," fatigue,  mood_swings,  restlessness,  sweating,  diarrhoea,  fast_heart_rate,  excessive_hunger,  muscle_weakness,  irritability,  abnormal_menstruation",eat healthy,massage,use lemon balm,take radioactive iodine treatment
1145,Hyperthyroidism," fatigue,  mood_swings,  weight_loss,  sweating,  diarrhoea,  fast_heart_rate,  excessive_hunger,  muscle_weakness,  irritability,  abnormal_menstruation",eat healthy,massage,use lemon balm,take radioactive iodine treatment
1146,Hyperthyroidism," fatigue,  mood_swings,  weight_loss,  restlessness,  diarrhoea,  fast_heart_rate,  excessive_hunger,  muscle_weakness,  irritability,  abnormal_menstruation",eat healthy,massage,use lemon balm,take radioactive iodine treatment
1147,Hyperthyroidism," fatigue,  mood_swings,  weight_loss,  restlessness,  sweating,  fast_heart_rate,  excessive_hunger,  muscle_weakness,  irritability,  abnormal_menstruation",eat healthy,massage,use lemon balm,take radioactive iodine treatment
1148,Hyperthyroidism," fatigue,  mood_swings,  weight_loss,  restlessness,  sweating,  diarrhoea,  excessive_hunger,  muscle_weakness,  irritability,  abnormal_menstruation",eat healthy,massage,use lemon balm,take radioactive iodine treatment
1149,Hyperthyroidism," fatigue,  mood_swings,  weight_loss,  restlessness,  sweating,  diarrhoea,  fast_heart_rate,  muscle_weakness,  irritability,  abnormal_menstruation",eat healthy,massage,use lemon balm,take radioactive iodine treatment
1150,Hypoglycemia," vomiting,  fatigue,  anxiety,  sweating,  headache,  nausea,  blurred_and_distorted_vision,  excessive_hunger,  slurred_speech,  irritability,  palpitations",lie down on side,check in pulse,drink sugary drinks,consult doctor
1151,Hypoglycemia," vomiting,  fatigue,  anxiety,  sweating,  headache,  nausea,  blurred_and_distorted_vision,  excessive_hunger,  drying_and_tingling_lips,  slurred_speech,  irritability,  palpitations",lie down on side,check in pulse,drink sugary drinks,consult doctor
1152,Hypoglycemia," vomiting,  fatigue,  anxiety,  sweating,  headache,  nausea,  blurred_and_distorted_vision,  excessive_hunger,  drying_and_tingling_lips,  slurred_speech,  irritability,  palpitations",lie down on side,check in pulse,drink sugary drinks,consult doctor
1153,Hypoglycemia," fatigue,  anxiety,  sweating,  headache,  nausea,  blurred_and_distorted_vision,  excessive_hunger,  drying_and_tingling_lips,  slurred_speech,  irritability,  palpitations",lie down on side,check in pulse,drink sugary drinks,consult doctor
1154,Hypoglycemia," vomiting,  anxiety,  sweating,  headache,  nausea,  blurred_and_distorted_vision,  excessive_hunger,  drying_and_tingling_lips,  slurred_speech,  irritability,  palpitations",lie down on side,check in pulse,drink sugary drinks,consult doctor
1155,Hypoglycemia," vomiting,  fatigue,  sweating,  headache,  nausea,  blurred_and_distorted_vision,  excessive_hunger,  drying_and_tingling_lips,  slurred_speech,  irritability,  palpitations",lie down on side,check in pulse,drink sugary drinks,consult doctor
1156,Hypoglycemia," vomiting,  fatigue,  anxiety,  headache,  nausea,  blurred_and_distorted_vision,  excessive_hunger,  drying_and_tingling_lips,  slurred_speech,  irritability,  palpitations",lie down on side,check in pulse,drink sugary drinks,consult doctor
1157,Hypoglycemia," vomiting,  fatigue,  anxiety,  sweating,  nausea,  blurred_and_distorted_vision,  excessive_hunger,  drying_and_tingling_lips,  slurred_speech,  irritability,  palpitations",lie down on side,check in pulse,drink sugary drinks,consult doctor
1158,Hypoglycemia," vomiting,  fatigue,  anxiety,  sweating,  headache,  blurred_and_distorted_vision,  excessive_hunger,  drying_and_tingling_lips,  slurred_speech,  irritability,  palpitations",lie down on side,check in pulse,drink sugary drinks,consult doctor
1159,Hypoglycemia," vomiting,  fatigue,  anxiety,  sweating,  headache,  nausea,  excessive_hunger,  drying_and_tingling_lips,  slurred_speech,  irritability,  palpitations",lie down on side,check in pulse,drink sugary drinks,consult doctor
1160,Osteoarthristis," joint_pain,  neck_pain,  knee_pain,  hip_joint_pain,  swelling_joints,  painful_walking",acetaminophen,consult nearest hospital,follow up,salt baths
1161,Osteoarthristis," joint_pain,  neck_pain,  knee_pain,  hip_joint_pain,  swelling_joints,  painful_walking",acetaminophen,consult nearest hospital,follow up,salt baths
1162,Osteoarthristis," neck_pain,  knee_pain,  hip_joint_pain,  swelling_joints,  painful_walking",acetaminophen,consult nearest hospital,follow up,salt baths
1163,Osteoarthristis," joint_pain,  knee_pain,  hip_joint_pain,  swelling_joints,  painful_walking",acetaminophen,consult nearest hospital,follow up,salt baths
1164,Osteoarthristis," joint_pain,  neck_pain,  hip_joint_pain,  swelling_joints,  painful_walking",acetaminophen,consult nearest hospital,follow up,salt baths
1165,Osteoarthristis," joint_pain,  neck_pain,  knee_pain,  swelling_joints,  painful_walking",acetaminophen,consult nearest hospital,follow up,salt baths
1166,Osteoarthristis," joint_pain,  neck_pain,  knee_pain,  hip_joint_pain,  painful_walking",acetaminophen,consult nearest hospital,follow up,salt baths
1167,Osteoarthristis," joint_pain,  neck_pain,  knee_pain,  hip_joint_pain,  swelling_joints",acetaminophen,consult nearest hospital,follow up,salt baths
1168,Osteoarthristis," joint_pain,  neck_pain,  knee_pain,  hip_joint_pain,  swelling_joints,  painful_walking",acetaminophen,consult nearest hospital,follow up,salt baths
1169,Osteoarthristis," joint_pain,  neck_pain,  knee_pain,  hip_joint_pain,  swelling_joints,  painful_walking",acetaminophen,consult nearest hospital,follow up,salt baths
1170,Arthritis," muscle_weakness,  stiff_neck,  swelling_joints,  movement_stiffness,  painful_walking",exercise,use hot and cold therapy,try acupuncture,massage
1171,Arthritis," muscle_weakness,  stiff_neck,  swelling_joints,  movement_stiffness,  painful_walking",exercise,use hot and cold therapy,try acupuncture,massage
1172,Arthritis," stiff_neck,  swelling_joints,  movement_stiffness,  painful_walking",exercise,use hot and cold therapy,try acupuncture,massage
1173,Arthritis," muscle_weakness,  swelling_joints,  movement_stiffness,  painful_walking",exercise,use hot and cold therapy,try acupuncture,massage
1174,Arthritis," muscle_weakness,  stiff_neck,  movement_stiffness,  painful_walking",exercise,use hot and cold therapy,try acupuncture,massage
1175,Arthritis," muscle_weakness,  stiff_neck,  swelling_joints,  painful_walking",exercise,use hot and cold therapy,try acupuncture,massage
1176,Arthritis," muscle_weakness,  stiff_neck,  swelling_joints,  movement_stiffness,  painful_walking",exercise,use hot and cold therapy,try acupuncture,massage
1177,Arthritis," muscle_weakness,  stiff_neck,  swelling_joints,  movement_stiffness",exercise,use hot and cold therapy,try acupuncture,massage
1178,Arthritis," muscle_weakness,  stiff_neck,  swelling_joints,  movement_stiffness,  painful_walking",exercise,use hot and cold therapy,try acupuncture,massage
1179,Arthritis," muscle_weakness,  stiff_neck,  swelling_joints,  movement_stiffness,  painful_walking",exercise,use hot and cold therapy,try acupuncture,massage
1180,(vertigo) Paroymsal  Positional Vertigo," vomiting,  headache,  nausea,  spinning_movements,  loss_of_balance,  unsteadiness",lie down,avoid sudden change in body,avoid abrupt head movment,relax
1181,(vertigo) Paroymsal  Positional Vertigo," vomiting,  headache,  nausea,  spinning_movements,  loss_of_balance,  unsteadiness",lie down,avoid sudden change in body,avoid abrupt head movment,relax
1182,(vertigo) Paroymsal  Positional Vertigo," headache,  nausea,  spinning_movements,  loss_of_balance,  unsteadiness",lie down,avoid sudden change in body,avoid abrupt head movment,relax
1183,(vertigo) Paroymsal  Positional Vertigo," vomiting,  nausea,  spinning_movements,  loss_of_balance,  unsteadiness",lie down,avoid sudden change in body,avoid abrupt head movment,relax
1184,(vertigo) Paroymsal  Positional Vertigo," vomiting,  headache,  spinning_movements,  loss_of_balance,  unsteadiness",lie down,avoid sudden change in body,avoid abrupt head movment,relax
1185,(vertigo) Paroymsal  Positional Vertigo," vomiting,  headache,  nausea,  loss_of_balance,  unsteadiness",lie down,avoid sudden change in body,avoid abrupt head movment,relax
1186,(vertigo) Paroymsal  Positional Vertigo," vomiting,  headache,  nausea,  spinning_movements,  unsteadiness",lie down,avoid sudden change in body,avoid abrupt head movment,relax
1187,(vertigo) Paroymsal  Positional Vertigo," vomiting,  headache,  nausea,  spinning_movements,  loss_of_balance",lie down,avoid sudden change in body,avoid abrupt head movment,relax
1188,(vertigo) Paroymsal  Positional Vertigo," vomiting,  headache,  nausea,  spinning_movements,  loss_of_balance,  unsteadiness",lie down,avoid sudden change in body,avoid abrupt head movment,relax
1189,(vertigo) Paroymsal  Positional Vertigo," vomiting,  headache,  nausea,  loss_of_balance,  unsteadiness",lie down,avoid sudden change in body,avoid abrupt head movment,relax
1190,Acne," skin_rash,  pus_filled_pimples,  blackheads,  scurring",bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products
1191,Acne," skin_rash,  pus_filled_pimples,  blackheads,  scurring",bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products
1192,Acne," pus_filled_pimples,  blackheads,  scurring",bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products
1193,Acne," skin_rash,  blackheads,  scurring",bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products
1194,Acne," skin_rash,  pus_filled_pimples,  scurring",bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products
1195,Acne," skin_rash,  pus_filled_pimples,  blackheads",bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products
1196,Acne," skin_rash,  pus_filled_pimples,  blackheads,  scurring",bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products
1197,Acne," skin_rash,  pus_filled_pimples,  blackheads",bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products
1198,Acne," skin_rash,  pus_filled_pimples,  scurring",bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products
1199,Acne," skin_rash,  blackheads,  scurring",bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products
1200,Urinary tract infection," burning_micturition,  bladder_discomfort,  foul_smell_of urine,  continuous_feel_of_urine",drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
1201,Urinary tract infection," burning_micturition,  bladder_discomfort,  foul_smell_of urine,  continuous_feel_of_urine",drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
1202,Urinary tract infection," bladder_discomfort,  foul_smell_of urine,  continuous_feel_of_urine",drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
1203,Urinary tract infection," burning_micturition,  foul_smell_of urine,  continuous_feel_of_urine",drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
1204,Urinary tract infection," burning_micturition,  bladder_discomfort,  continuous_feel_of_urine",drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
1205,Urinary tract infection," burning_micturition,  bladder_discomfort,  foul_smell_of urine",drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
1206,Urinary tract infection," burning_micturition,  bladder_discomfort,  foul_smell_of urine,  continuous_feel_of_urine",drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
1207,Urinary tract infection," burning_micturition,  bladder_discomfort,  continuous_feel_of_urine",drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
1208,Urinary tract infection," bladder_discomfort,  foul_smell_of urine,  continuous_feel_of_urine",drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
1209,Urinary tract infection," burning_micturition,  bladder_discomfort,  continuous_feel_of_urine",drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
1210,Psoriasis," skin_rash,  joint_pain,  skin_peeling,  silver_like_dusting,  small_dents_in_nails,  inflammatory_nails",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
1211,Psoriasis," skin_rash,  joint_pain,  skin_peeling,  silver_like_dusting,  small_dents_in_nails,  inflammatory_nails",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
1212,Psoriasis," joint_pain,  skin_peeling,  silver_like_dusting,  small_dents_in_nails,  inflammatory_nails",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
1213,Psoriasis," skin_rash,  skin_peeling,  silver_like_dusting,  small_dents_in_nails,  inflammatory_nails",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
1214,Psoriasis," skin_rash,  joint_pain,  silver_like_dusting,  small_dents_in_nails,  inflammatory_nails",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
1215,Psoriasis," skin_rash,  joint_pain,  skin_peeling,  small_dents_in_nails,  inflammatory_nails",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
1216,Psoriasis," skin_rash,  joint_pain,  skin_peeling,  silver_like_dusting,  inflammatory_nails",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
1217,Psoriasis," skin_rash,  joint_pain,  skin_peeling,  silver_like_dusting,  small_dents_in_nails",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
1218,Psoriasis," skin_rash,  joint_pain,  skin_peeling,  silver_like_dusting,  small_dents_in_nails,  inflammatory_nails",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
1219,Psoriasis," skin_rash,  joint_pain,  skin_peeling,  silver_like_dusting,  small_dents_in_nails,  inflammatory_nails",wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
1220,Impetigo," skin_rash,  high_fever,  blister,  red_sore_around_nose,  yellow_crust_ooze",soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
1221,Impetigo," skin_rash,  high_fever,  blister,  red_sore_around_nose,  yellow_crust_ooze",soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
1222,Impetigo," high_fever,  blister,  red_sore_around_nose,  yellow_crust_ooze",soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
1223,Impetigo," skin_rash,  blister,  red_sore_around_nose,  yellow_crust_ooze",soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
1224,Impetigo," skin_rash,  blister,  red_sore_around_nose,  yellow_crust_ooze",soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
1225,Impetigo," skin_rash,  high_fever,  red_sore_around_nose,  yellow_crust_ooze",soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
1226,Impetigo," skin_rash,  high_fever,  blister,  yellow_crust_ooze",soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
1227,Impetigo," skin_rash,  high_fever,  blister,  red_sore_around_nose",soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
1228,Impetigo," skin_rash,  high_fever,  blister,  red_sore_around_nose,  yellow_crust_ooze",soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
1229,Impetigo," skin_rash,  blister,  red_sore_around_nose,  yellow_crust_ooze",soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
1230,Fungal infection,"itching,  skin_rash,  nodal_skin_eruptions,  dischromic _patches",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
1231,Fungal infection," skin_rash,  nodal_skin_eruptions,  dischromic _patches",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
1232,Fungal infection,"itching,  nodal_skin_eruptions,  dischromic _patches",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
1233,Fungal infection,"itching,  skin_rash,  dischromic _patches",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
1234,Fungal infection,"itching,  skin_rash,  nodal_skin_eruptions",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
1235,Fungal infection," skin_rash,  nodal_skin_eruptions,  dischromic _patches",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
1236,Fungal infection,"itching,  nodal_skin_eruptions,  dischromic _patches",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
1237,Fungal infection,"itching,  skin_rash,  dischromic _patches",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
1238,Fungal infection,"itching,  skin_rash,  nodal_skin_eruptions",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
1239,Fungal infection,"itching,  skin_rash,  nodal_skin_eruptions,  dischromic _patches",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
1240,Allergy," continuous_sneezing,  shivering,  chills,  watering_from_eyes",apply calamine,cover area with bandage,,use ice to compress itching
1241,Allergy," shivering,  chills,  watering_from_eyes",apply calamine,cover area with bandage,,use ice to compress itching
1242,Allergy," continuous_sneezing,  chills,  watering_from_eyes",apply calamine,cover area with bandage,,use ice to compress itching
1243,Allergy," continuous_sneezing,  shivering,  watering_from_eyes",apply calamine,cover area with bandage,,use ice to compress itching
1244,Allergy," continuous_sneezing,  shivering,  chills",apply calamine,cover area with bandage,,use ice to compress itching
1245,Allergy," shivering,  chills,  watering_from_eyes",apply calamine,cover area with bandage,,use ice to compress itching
1246,Allergy," continuous_sneezing,  chills,  watering_from_eyes",apply calamine,cover area with bandage,,use ice to compress itching
